abook 0.6.1-7
accountsservice 22.08.8-4
acl 2.3.1-3
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-cursors 43-2
adwaita-icon-theme 43-2
alacritty 0.11.0-2
alsa-card-profiles 1:0.3.67-1
alsa-lib 1.2.8-1
alsa-tools 1.2.5-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.8-1
alsa-ucm-conf-asahi 1-1
alsa-utils 1.2.8-1
aom 3.6.0-1
appstream 0.16.1-2
arch-install-scripts 28-1
archlinux-keyring 20230320-1
archlinuxarm-keyring 20140119-2
argon2 20190702-4
asahi-calamares-configs 20221122-1
asahi-configs 20230313-2
asahi-fwextract 0.5pre2-2
asahi-meta 4-1
asahi-scripts 20221220-1
asahilinux-keyring 20220225-1
at-spi2-core 2.48.0-1
atkmm 2.28.3-1
attr 2.5.1-2
audit 3.1-1
autoconf 2.71-4
automake 1.16.5-2
autotiling-rs 0.1.3-1
avahi 0.8+22+gfd482a7-3
base 3-1
base-devel 1-1
bash 5.1.016-3
bibata-cursor-theme-bin 2.0.3-1
binutils 2.38-5.1
bison 3.8.2-5
blueman 2.3.5-1
bluez 5.66-1
bluez-libs 5.66-1
bluez-tools 0.2.0-5
bluez-utils 5.66-1
brillo 1.4.12-1
brotli 1.0.9-10
btrfs-progs 6.2.1-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.19.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.89-1
ca-certificates-utils 20220905-1
cairo 1.17.8-2
cairomm 1.14.4-1
cantarell-fonts 1:0.303.1-1
catch2 2.13.9-1
cava 0.8.3-1
cdparanoia 10.2-8
check 0.15.2-2
chezmoi 2.32.0-1
chrono-date 3.0.1-3
cinnamon-desktop 5.6.1-1
cmake 3.26.1-1
coreutils 9.2-1
cronie 1.6.1-1
cryptsetup 2.6.1-3
curl 8.0.1-1
dash 0.5.12-1
dav1d 1.1.0-1
db 6.2.32-1
db5.3 5.3.28-2
dbus 1.14.6-2
dbus-glib 0.112-2
dconf 0.40.0-2
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.26-2
device-mapper 2.03.20-1
dhcpcd 9.4.1-1
diffutils 3.9-1
dmraid 1.0.0.rc16.3-14
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dosfstools 4.2-3
double-conversion 3.2.1-1
duktape 2.7.0-5
e2fsprogs 1.47.0-1
ell 0.56-1
enchant 2.3.4-1
evtest 1.35-1
exa 0.9.0-3
exempi 2.6.3-1
exo 4.18.0-1
expat 2.5.0-1
fakeroot 1.31-2
feh 3.9.1-2
fet.sh-git 1.9.r9.gc1e48e7-1
ffmpeg 2:6.0-4
fftw 3.3.10-4
file 5.44-3
file-roller 43.0-1
filesystem 2023.01.31-1
filezilla 3.63.2.1-1
findutils 4.9.0-3
firefox 111.0.1-1
flac 1.4.2-1
flatpak 1:1.15.4-1
flex 2.6.4-5
fmt 9.1.0-4
fontconfig 2:2.14.2-1
freeglut 3.4.0-1
freeimage 3.18.0-18
freetype2 2.13.0-1
fribidi 1.0.12-1
fuse-common 3.14.0-1
fuse3 3.14.0-1
fzf 0.38.0-1
gawk 5.2.1-2
gc 8.2.2-1
gcc 12.1.0-2.1
gcc-libs 12.1.0-2.1
gcr 3.41.1-3
gcr-4 4.0.0-1
gd 2.3.3-6
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
geoclue 2.7.0-1
gettext 0.21.1-2
ghostscript 10.0.0-6
giflib 5.2.1-2
girara 0.4.0-1
git 2.40.0-1
glib-networking 1:2.76.0-1
glib2 2.76.1-1
glib2-docs 2.76.1-1
glibc 2.35-5.1
glibmm 2.66.6-1
glu 9.0.2-3
gmime3 3.2.13-1
gmp 6.2.1-2
gnupg 2.2.41-1
gnutls 3.8.0-1.1
go 2:1.20.2-1
go-md2man 2.0.2-2
gobject-introspection 1.76.1-1
gobject-introspection-runtime 1.76.1-1
gperftools 2.10-1
gpgme 1.19.0-3
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphite 1:1.3.14-3
graphviz 7.1.0-1
grep 3.9-1
grim 1.4.0-3
grimshot 1.6.1-1
groff 1.22.4-10
grub 2:2.06.r456.g65bc45963-1
gsasl 2.2.0-1
gsettings-desktop-schemas 44.0-1
gsfonts 20200910-3
gsm 1.0.22-1
gssdp 1.6.2-1
gst-plugins-bad-libs 1.22.1-2
gst-plugins-base 1.22.1-2
gst-plugins-base-libs 1.22.1-2
gstreamer 1.22.1-2
gtk-doc 1.33.2-1
gtk-layer-shell 0.8.0-1
gtk-update-icon-cache 1:4.10.1-2
gtk3 1:3.24.37-1
gtkmm3 3.24.7-1
gts 0.7.6.121130-2
gufw 22.04-1
guile 3.0.9-1
gumbo-parser 0.10.1-2
gupnp 1:1.6.3-1
gupnp-igd 1.2.0-3
gvfs 1.50.4-1
gzip 1.12-2
harfbuzz 7.1.0-1
harfbuzz-icu 7.1.0-1
hicolor-icon-theme 0.17-3
hidapi 0.13.1-2
